DATAFLOW,LAST UPDATE,freq,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Croatia,2021,339.5,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Croatia,2022,377.2,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2014,850.2,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2015,890.8,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2016,917.9,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2017,931.3,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2018,962.1,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2019,1028.3,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2020,928.8,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2021,958.8,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Hungary,2022,993.8,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2013,194.1,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2014,192.7,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2015,279.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2016,319.0,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2017,431.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2018,520.7,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2019,520.7,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2020,449.7,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2021,616.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Ireland,2022,685.5,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2012,161.7,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2013,167.8,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2014,199.6,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2015,225.9,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2016,267.0,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2017,328.9,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2018,347.9,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2019,350.5,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2020,349.3,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2021,397.1,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Iceland,2022,464.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2012,7222.1,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2013,7291.0,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2014,7390.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2015,7905.6,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2016,7536.9,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2017,8212.2,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2018,8433.3,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2019,8778.5,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2020,7976.9,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2021,7703.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2022,7936.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Italy,2023,9337.0,d,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2012,208.0,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2013,218.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2014,228.5,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2015,251.7,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2016,292.8,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2017,322.5,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2018,390.4,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2019,426.7,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2020,511.1,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2021,571.9,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Lithuania,2022,664.6,,
ESTAT:EDUC_UOE_FINE04(1.0),01/04/26 23:00:00,Annual,Million euro,Early childhood education,Luxembourg,2012,280.1,,
